Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
281.444	2	1	1378.33	194.368	1
281.477	2	1	1378.33	194.226	1
281.511	2	1	1378.3	194.229	1
281.544	2	1	1378.21	194.068	1
281.578	2	1	1378.24	193.75	1
281.611	2	1	1378.73	192.663	1
281.645	2	1	1378.54	192.08	1
281.678	2	1	1378.19	191.982	1
281.711	2	1	1377.98	191.531	1
281.745	2	1	1378.38	191.271	1
281.778	2	1	1378.57	191.044	1
281.812	2	1	1378.93	190.589	1
281.845	2	1	1378.66	190.351	1
281.879	2	1	1378.2	190.243	1
281.912	2	1	1377.93	190.036	1
281.946	2	1	1377.67	190.497	1
281.979	2	1	1377.3	191.368	1
282.013	2	1	1377.4	191.345	1
282.046	2	1	1377.57	191.269	1
282.08	2	1	1377.49	191.616	1
282.113	2	1	1377.52	191.715	1
282.147	2	1	1377.57	191.677	1
282.18	2	1	1377.48	191.905	1
282.214	2	1	1377.6	192.266	1
282.247	2	1	1377.72	192.397	1
282.281	2	1	1377.84	192.611	1
282.314	2	1	1377.85	192.798	1
282.348	2	1	1377.66	192.944	1
282.381	2	1	1377.45	192.922	1
282.415	2	1	1377.37	192.697	1
282.448	2	1	1377.28	192.412	1
282.482	2	1	1377.71	191.805	1
282.515	2	1	1377.35	192.446	1
282.549	2	1	1377.26	192.733	1
282.582	2	1	1377.29	192.59	1
282.616	2	1	1377.23	192.672	1
282.649	2	1	1377.28	192.66	1
282.683	2	1	1377.34	192.643	1
282.716	2	1	1377.22	192.612	1
282.75	2	1	1377.16	192.732	1
282.783	2	1	1377.51	192.186	1
282.817	2	1	1377.44	191.898	1
282.85	2	1	1377.39	191.848	1
282.884	2	1	1377.61	191.698	1
282.917	2	1	1377.3	192.595	1
282.951	2	1	1377.25	192.62	1
282.984	2	1	1377.61	191.884	1
283.018	2	1	1377.41	192.794	1
283.051	2	1	1377.29	193.139	1
283.085	2	1	1377.25	193.024	1
283.118	2	1	1377.44	193.374	1
283.152	2	1	1377.79	194.09	1
283.185	2	1	1377.93	194.305	1
283.219	2	1	1378.06	194.491	1
283.252	2	1	1377.93	194.351	1
283.286	2	1	1377.81	194.275	1
283.319	2	1	1377.67	193.847	1
283.353	2	1	1377.69	194.003	1
283.386	2	1	1377.61	194.03	1
283.42	2	1	1377.58	193.664	1
283.453	2	1	1377.56	193.441	1
283.487	2	1	1377.49	193.508	1
283.52	2	1	1377.46	193.751	1
283.554	2	1	1377.58	193.715	1
283.587	2	1	1377.57	193.713	1
283.621	2	1	1377.53	193.568	1
283.654	2	1	1377.43	193.709	1
283.688	2	1	1377.47	193.702	1
283.721	2	1	1377.76	192.904	1
283.755	2	1	1377.38	193.214	1
283.788	2	1	1377.29	193.337	1
283.822	2	1	1377.59	192.545	1
283.855	2	1	1377.3	193.018	1
283.889	2	1	1377.72	191.535	1
283.922	2	1	1378.72	190.28	1
283.956	2	1	1378.84	189.372	1
283.989	2	1	1378.71	189.523	1
284.023	2	1	1378.38	190.352	1
284.056	2	1	1378.51	190.55	1
