Time (sec)	Arena	Track	Current Speed (mm/sec)	
40.6943	1	1	50.3631
40.7278	1	1	38.4746
40.7612	1	1	32.7772
40.7947	1	1	23.3831
40.8282	1	1	23.2673
40.8617	1	1	20.0179
40.8952	1	1	18.7686
40.9287	1	1	17.826
40.9622	1	1	18.4974
40.9957	1	1	19.5094
41.0292	1	1	24.1577
41.0627	1	1	27.7782
41.0962	1	1	28.8029
41.1297	1	1	31.7348
41.1632	1	1	34.8431
41.1967	1	1	35.5401
41.2302	1	1	39.6761
41.2636	1	1	42.9975
41.2971	1	1	38.3153
41.3306	1	1	42.3669
41.3641	1	1	44.8906
41.3976	1	1	48.926
41.4311	1	1	50.5211
41.4646	1	1	49.7762
41.4981	1	1	50.1518
41.5316	1	1	50.7382
41.5651	1	1	48.5368
41.5986	1	1	49.9191
41.6321	1	1	51.116
41.6656	1	1	59.7406
41.6991	1	1	71.0788
41.7326	1	1	76.416
41.766	1	1	77.8905
41.7995	1	1	74.0192
41.833	1	1	71.8637
41.8665	1	1	71.5339
41.9	1	1	67.1039
41.9335	1	1	61.2398
41.967	1	1	57.9342
42.0005	1	1	54.0578
42.034	1	1	42.9427
42.0675	1	1	27.2067
42.101	1	1	14.1119
42.1345	1	1	6.14489
42.168	1	1	9.27815
42.2015	1	1	13.5199
42.235	1	1	21.0676
42.2684	1	1	27.6251
42.3019	1	1	27.8614
42.3354	1	1	25.9006
42.3689	1	1	25.8592
42.4024	1	1	24.4198
42.4359	1	1	23.2827
42.4694	1	1	24.5516
42.5029	1	1	21.2682
42.5364	1	1	21.2966
42.5699	1	1	22.4928
42.6034	1	1	21.0665
42.6369	1	1	21.0411
42.6704	1	1	21.4494
42.7039	1	1	21.9741
42.7374	1	1	24.4565
42.7708	1	1	23.9161
42.8043	1	1	29.477
42.8378	1	1	35.4948
42.8713	1	1	40.0901
42.9048	1	1	46.1097
42.9383	1	1	48.0298
42.9718	1	1	48.1154
43.0053	1	1	51.1596
43.0388	1	1	52.4662
43.0723	1	1	56.5941
43.1058	1	1	60.3602
43.1393	1	1	64.5512
43.1728	1	1	63.3564
43.2063	1	1	66.7886
43.2397	1	1	70.1621
43.2732	1	1	75.0032
43.3067	1	1	81.1856
43.3402	1	1	86.9006
43.3737	1	1	88.8067
43.4072	1	1	83.0051
43.4407	1	1	80.811
43.4742	1	1	71.9868
43.5077	1	1	62.6699
43.5412	1	1	58.5043
43.5747	1	1	54.0552
43.6082	1	1	46.0814
43.6417	1	1	37.7915
43.6752	1	1	34.3037
43.7087	1	1	23.1749
43.7421	1	1	13.0031
43.7756	1	1	8.57292
43.8091	1	1	6.19917
43.8426	1	1	3.91858
43.8761	1	1	0
43.9096	1	1	2.95925
43.9431	1	1	8.99861
43.9766	1	1	11.5896
44.0101	1	1	13.5754
44.0436	1	1	18.9917
44.0771	1	1	25.6456
44.1106	1	1	22.8083
44.1441	1	1	24.6687
44.1776	1	1	26.7592
44.2111	1	1	24.402
44.2445	1	1	21.6172
44.278	1	1	27.5033
44.3115	1	1	32.6784
44.345	1	1	35.8447
44.3785	1	1	40.2268
44.412	1	1	47.3685
44.4455	1	1	45.1723
44.479	1	1	46.0164
44.5125	1	1	46.9412
44.546	1	1	36.6015
44.5795	1	1	31.0323
44.613	1	1	28.9277
44.6465	1	1	28.519
44.68	1	1	25.8242
44.7135	1	1	19.2417
44.7469	1	1	16.4594
44.7804	1	1	16.0345
44.8139	1	1	9.01454
